skill,problem_id,user_id,assignment_id,assistment_id,start_time,end_time,problem_type,original,correct,hint_count
Box and Whisker,36843,52451,175321,27833,44:28.0,47:00.5,algebra,1,0,0
Box and Whisker,36843,52451,175322,27833,50:35.1,50:51.8,algebra,1,1,0
Inverse Relations,8718,52451,175315,8718,28:11.1,29:20.4,choose_1,1,0,0
Inverse Relations,833,52451,175315,833,29:22.0,29:39.9,choose_1,1,0,0
Inverse Relations,882,52451,175315,882,30:21.4,30:55.6,choose_1,1,0,0
Inverse Relations,2213,52451,175315,2213,31:08.1,31:43.6,choose_1,1,1,0
Inverse Relations,4535,52451,175315,4535,31:44.9,31:57.6,choose_1,1,1,0
Box and Whisker,51450,52451,218156,33165,22:27.2,22:35.5,algebra,1,1,0
Box and Whisker,51435,52451,218156,33150,22:37.4,22:51.5,algebra,1,1,0
Box and Whisker,36843,52452,175321,27833,38:44.7,39:51.4,algebra,1,0,0
Box and Whisker,28913,52452,175269,24731,21:08.1,22:45.9,choose_1,1,1,0
Box and Whisker,28916,52452,175269,24734,24:58.5,28:07.2,fill_in_1,1,1,0
Box and Whisker,28915,52452,175269,24733,28:50.0,29:02.9,fill_in_1,1,1,0
Box and Whisker,36843,52452,175322,27833,52:03.7,52:16.6,algebra,1,1,0
Inverse Relations,4535,52452,175315,4535,43:01.8,43:28.5,choose_1,1,0,0
Inverse Relations,882,52452,175315,882,44:28.5,45:01.1,choose_1,1,1,0
Inverse Relations,833,52452,175315,833,45:02.8,45:24.6,choose_1,1,0,0
Inverse Relations,8718,52452,175315,8718,45:48.3,46:22.8,choose_1,1,0,0
Inverse Relations,2213,52452,175315,2213,46:24.4,48:07.0,choose_1,1,1,0
Box and Whisker,36843,52453,175321,27833,34:40.5,37:35.1,algebra,1,1,0
Box and Whisker,36843,52453,175322,27833,32:20.1,32:26.7,algebra,1,1,0
Inverse Relations,2213,52453,175315,2213,25:16.6,25:28.8,choose_1,1,1,0
Inverse Relations,4535,52453,175315,4535,25:38.9,26:00.2,choose_1,1,0,0
Inverse Relations,882,52453,175315,882,26:39.1,26:39.2,choose_1,1,1,0
Inverse Relations,8718,52453,175315,8718,26:49.3,27:02.5,choose_1,1,1,0
Inverse Relations,833,52453,175315,833,27:12.6,27:49.2,choose_1,1,1,0
Box and Whisker,51466,52453,218156,33181,56:51.0,57:11.1,algebra,1,1,0
Box and Whisker,51413,52453,218156,33128,57:05.2,57:26.0,algebra,1,1,0
Congruence,34333,52453,175290,26517,39:47.3,39:58.9,choose_1,1,0,0
Congruence,33736,52453,175290,26291,40:00.5,41:49.1,choose_1,1,1,0
Congruence,33746,52453,175290,26292,41:52.6,42:12.1,choose_1,1,1,0
Congruence,33654,52453,175290,26272,42:13.4,42:20.2,choose_1,1,1,0
Box and Whisker,36843,52456,175321,27833,39:08.9,39:51.1,algebra,1,1,0
Box and Whisker,28915,52456,175269,24733,21:29.8,21:42.5,fill_in_1,1,1,0
Box and Whisker,28913,52456,175269,24731,21:45.0,22:47.2,choose_1,1,1,0
