gaming clip,student,batch,is gaming?,AvgTimrPerAction,Number of Context Changes,Number of Correct Actions,Minimum time between actions,Number of actions faster than average for clip,Number of duplicated inputs,Has 3 or more duplicated inputs,Number of help requests,Has 3 or more help requests,Number WrongActions,Number of consecutive help requests,Sum of frequency of wrong + frequency of consecutive help,Number of BUG,Number of actions slower than the global average action time (~13 seconds),Number of consecutive wrong in the same context,Help Request Rate,Count of short action (3 seconds or less),Number of Unique Input,Number of Blank Actions,Number of Hint_without_attempt,Avg_Time_Per_Incorrect_Actions
896,N0BrbPbwCMz,4,N,43,3,4,-1,4,1,0,0,0,1,0,0,0,1,0,0,1,4,2,0,2
1061,N0BrbPbwCMz,4,G,10,4,3,7,2,1,0,0,0,2,0,0,0,1,1,0,0,4,5,0,33
1253,N0BrbPbwCMz,4,N,11,3,2,2,3,1,0,0,0,3,0,0,0,2,2,0,1,4,5,0,0
1285,N0BrbPbwCMz,4,N,7,2,2,0,3,2,0,1,0,2,0,0,0,1,1,0.2,2,3,5,0,0
1323,N0BrbPbwCMz,4,N,9.4,4,3,0,4,1,0,0,0,0,0,0,2,1,0,0,1,4,3,0,40
1509,N19UbXBlPPK,5,G,39.2,4,1,15,3,1,0,0,0,3,0,0,1,5,1,0,0,4,5,0,0
1780,N2oNLCndtam,8,G,5.2,3,4,0,3,1,0,0,0,0,0,0,1,0,0,0,1,4,2,0,16
1791,N2oNLCndtam,8,G,17.4,2,2,5,4,0,0,0,0,2,0,0,1,1,1,0,0,5,0,0,6
1885,N2oNLCndtam,8,N,7.8,3,4,3,3,0,0,0,0,1,0,0,0,1,0,0,1,5,2,0,12
1918,N2oNLCndtam,8,G,12,0,0,0,3,2,0,1,0,4,0,0,0,1,3,0.2,2,2,5,0,13
2065,N2oNLCndtam,8,G,4.6,3,3,-1,3,0,0,0,0,0,0,0,2,0,0,0,2,5,5,0,7
2155,N2oNLCndtam,8,N,4.6,3,3,2,3,0,0,0,0,2,0,0,0,0,1,0,2,5,5,0,3
2266,N2oNLCndtam,8,G,4.8,4,5,1,3,0,0,0,0,0,0,0,0,0,0,0,2,5,4,0,37
2407,N2oNLCndtam,8,N,4.4,2,4,-1,3,1,0,0,0,1,0,0,0,0,0,0,1,5,5,0,5
3002,N2oNLCndtam,8,N,4.6,2,4,0,3,0,0,0,0,0,0,0,1,0,0,0,1,5,4,0,0
3039,N2oNLCndtam,8,G,5.6,2,0,0,3,1,0,1,0,4,0,0,0,1,1,0.2,3,4,5,0,13
3090,N2oNLCndtam,8,G,2.2,3,0,0,3,4,1,1,0,1,0,0,3,0,0,0.2,4,1,5,0,2
3123,N2oNLCndtam,8,G,6.8,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,1,5,4,0,15
3203,N2oNLCndtam,8,G,6,4,5,0,2,0,0,0,0,0,0,0,0,1,0,0,1,5,4,0,0
3217,N2oNLCndtam,8,G,13.4,5,0,3,3,4,1,5,1,0,4,4,0,2,0,1,1,1,5,5,0
